PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,rand
102,r4rk1/3p1ppp/p7/2p1PNb1/b1P5/BR4Q1/P2q1PPP/1R4K1 w - - 0 21,b3e3 d2c2 b1f1 c2f5,2275,75,93,2645,crushing fork master middlegame short,0.338958813
103,4r1rk/2R1B1bp/2B3p1/8/p4P2/Pb5P/2K3P1/7R w - - 1 32,c2c1 e8c8 e7d6 c8c7 d6c7 g8c8,2144,78,90,2622,advantage clearance long middlegame pin,0.498317554
104,r2qk2r/ppp2ppp/3b4/4Nb2/3QnB2/P6P/NPP1PPP1/R3KB1R w KQkq - 1 12,f2f3 d8h4 g2g3 e4g3 e1c1 g3h1,2009,80,92,2620,advantage fork long opening,0.954661204
105,8/8/2p4p/3kp1p1/2qp4/6P1/Q4PKP/2N5 w - - 14 47,f2f3 c4a2 c1a2 d5c4 g2f2 c4b3,2558,92,90,2531,crushing endgame long,0.093922235
106,2k3r1/p1p2prp/2p5/2q5/2p5/2Q3Pb/PPPN1P1P/R3R1K1 w - - 3 18,c3c4 g7g3 h2g3 g8g3 g1h1 c5f2 e1e8 c8d7,2342,85,90,2507,crushing deflection kingsideAttack middlegame pin sacrifice veryLong,0.040929367
107,r7/1b3R2/p2Bk3/1ppq3B/3p4/P2Pb1QP/1PP3P1/7K w - - 1 34,d6f4 d5h5 f4e3 h5f7,2204,74,93,2495,crushing hangingPiece middlegame short,0.225805787
108,r1b1kb1r/pp3ppp/1qnppn2/2p5/4P3/2NPBN2/PPPQBPPP/R3K2R b KQkq - 1 7,b6b2 a1b1 b2a3 c3b5 a3a2 e1g1,2197,75,93,2462,castling crushing defensiveMove long middlegame,0.705270016
109,r3kb1r/1p1b1ppp/1B2p3/nN1pq3/7P/2P5/P3BPP1/R2Q1RK1 b kq - 0 17,f8d6 f2f4 e5f4 f1f4,2052,76,92,2451,crushing middlegame short,0.500430746
110,3Q4/kp6/p1pP3q/8/4p1p1/4P1P1/3K1n2/2R5 b - - 1 61,f2d3 c1b1 d3c5 d8b6,2264,77,91,2381,crushing endgame short,0.484280535
111,3r1rk1/q3bppp/2p1p3/1p2B3/1n1P4/3B1P2/PPP2P1P/R5RK b - - 3 21,b4d3 g1g7 g8h8 g7g8 h8g8 a1g1 e7g5 g1g5,2178,75,91,2336,attraction doubleCheck kingsideAttack mate mateIn4 middlegame sacrifice veryLong,0.149862517
112,5r2/1bq1k2Q/p3pr2/1p1n1pN1/5Pn1/8/PP4PP/3RRBK1 b - - 2 27,e7d6 e1e6 f6e6 h7c7 d6c7 g5e6 c7d7 e6f8,2338,76,94,2245,attraction crushing fork master middlegame pin veryLong,0.5533567
113,5r1k/2b1Npp1/1p2p2p/1qn5/3Q4/P7/3R1PPP/3R2K1 w - - 0 26,d2b2 b5e8 e7d5 e6d5,2065,74,92,2231,advantage middlegame short trappedPiece,0.289968394
114,8/8/3p2N1/3Pp1n1/4Pp1p/3k1P1P/6K1/8 w - - 8 57,g6h4 d3e2 h4f5 g5f3,2158,79,91,2224,crushing endgame knightEndgame master short zugzwang,0.930405442
115,r2qk2r/pppbppbp/2n3p1/4P2n/2B2B2/2P3P1/PP3P1P/RN1QK1NR b KQkq - 0 9,c6e5 f4e5 g7e5 d1d5 d7g4 d5f7,2101,76,90,2223,advantage attackingF2F7 long opening,0.999492162
116,8/5k2/8/2N1p1p1/1P2Pn1p/2P2P1P/5RP1/1r4K1 w - - 4 37,g1h2 f4h5 g2g3 h4g3 h2g2 g3f2,2066,74,91,2130,advancedPawn crushing endgame fork long quietMove,0.209709983
117,8/1k2pp1P/3p4/4b3/PN2K3/8/8/8 b - - 2 40,b7b6 a4a5 b6b7 a5a6 b7b6 a6a7 b6b7 b4c6,2161,75,92,2010,advancedPawn crushing endgame exposedKing veryLong,0.546265762
118,r4rk1/1pp2p1p/5RpP/p2qP3/8/2Q5/PPP5/2KR4 b - - 3 25,d5a2 e5e6 a2a1 c1d2 f8d8 d2e3 a1d1 f6g6,2599,87,90,1986,crushing endgame sacrifice veryLong,0.057849429
119,5rk1/2bB3p/pp4p1/2p5/2Pp4/PP1P4/5RQP/2B1q1K1 w - - 1 32,f2f1 c7h2 g1h2 f8f1,2103,82,90,1982,crushing deflection kingsideAttack middlegame short,0.704186746
120,r4r1k/6p1/3pQ2p/4p1b1/qP2P1P1/2P2P1P/1B6/1K1R1R2 w - - 4 29,d1d6 f8f6 e6d5 f6d6 d5d6 a4a2,2431,93,90,1964,advantage long middlegame,0.304265896
121,r4rk1/p1pN3p/1p2pppP/8/8/2B5/PPP3b1/2K2R1R b - - 1 23,f8f7 d7f6 f7f6 c3f6,2074,79,91,1910,advantage kingsideAttack middlegame short,0.799864409
122,2r5/8/p7/3R2pk/1P3pp1/8/PP3PKP/8 w - - 0 34,a2a4 f4f3 g2g3 c8c1 h2h3 c1g1 g3h2 g1g2,2160,81,91,1884,crushing endgame master quietMove rookEndgame veryLong,0.475371898
123,R4r1k/5rq1/1p1p3p/1P4NQ/2PppP2/3n4/6PP/R6K b - - 7 36,f7f4 g5e6 f8a8 a1a8,2251,77,92,1882,crushing fork master middlegame short,0.013588966
