PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
85,2r1r1k1/4qppp/p3p3/1p1bP3/2nQ4/2N2N2/PP3PPP/3RR1K1 b - - 5 20,c4b2 c3d5 e6d5 d4b2,1257,76,90,7523,advantage discoveredAttack master middlegame short
86,3r2k1/p6r/3pq1p1/4ppQ1/3p4/1P4P1/P4P1P/2RR2K1 b - - 2 30,d8c8 c1c8 e6c8 g5g6 h7g7 g6d6,1510,76,91,6226,advantage endgame exposedKing long
87,7r/1p4k1/p3qp1p/4n1p1/3N2P1/8/PP5Q/K1R5 b - - 0 35,e6d7 c1c7 d7c7 d4e6 g7g6 e6c7,1800,74,95,4069,advantage attraction endgame fork long pin sacrifice
88,4rk2/5p1p/R5pP/8/4n3/P7/8/KR6 w - - 0 51,b1b7 e4c5 a6b6 c5b7,1039,75,97,4713,advantage endgame fork short
89,2kr3r/pppq1ppp/2n1pn2/8/1b1p1P2/1PNPPB2/PBP3PP/R2Q1RK1 w - - 0 11,e3d4 d7d4 f1f2 b4c3 b2c3 d4c3,1314,76,95,14424,crushing long middlegame
90,r1b1k2r/1pb2pp1/2p3p1/p2pn1B1/3pP3/P2P3P/BPPN1PPK/R4R2 w kq - 0 18,e4d5 e5f3 h2h1 f3g5,1859,75,93,5725,advantage doubleCheck middlegame short
91,8/8/2B2p1p/P4Pp1/3p1kP1/1b1Pb2P/8/4K3 b - - 0 50,f4g3 a5a6 b3c4 a6a7,1036,75,95,3494,advancedPawn bishopEndgame crushing endgame short
92,1r1q1rk1/p1nbppbp/3p2p1/3n4/1pP5/1P2PN2/R1QBBPPP/3N1RK1 b - - 1 15,d7f5 e3e4 f5e4 c2e4,1356,75,93,3677,advantage fork middlegame short
93,r2q1rk1/pp5p/2pp1ppb/n3p3/1PbP4/2PB1N1P/P1Q2PP1/RN2K2R w KQ - 0 16,b4a5 c4d3 c2d3 e5e4 d3e4 f8e8,1757,73,94,6980,advantage long middlegame pin
94,2k1r2r/ppq2p2/2pb4/2p2P1p/4P2P/1PQ1RpP1/P1P2P2/R1B3K1 w - - 0 23,e3f3 d6e5 c3e1 e5a1,1446,73,96,20728,advantage middlegame short skewer
95,r1b3k1/pp3rpp/8/2ppp1B1/3n3P/P1qB2Q1/2P2PP1/1R1K3R b - - 1 18,c5c4 d3h7 g8h7 g3c3,1456,78,95,15198,advantage discoveredAttack middlegame short
96,r6r/1p1kbpp1/6p1/p1pp4/6P1/P2P3P/1PP2PK1/R1B1R3 b - - 3 19,h8h4 e1e7 d7e7 c1g5 e7d7 g5h4,1149,76,99,4234,attraction crushing endgame exposedKing fork long sacrifice
97,1Q1k4/4r3/2q4p/2p1pp1P/2Bb4/1P6/P6K/4R3 b - - 4 43,d8d7 c4b5 c6b5 b8b5,1446,76,96,18686,crushing endgame pin short
98,2r1r1k1/p3n1p1/1p2Pp2/7N/3p4/6R1/P4PP1/4R1K1 b - - 2 32,e7f5 h5f6 g8f8 f6e8,1563,74,90,3326,advantage endgame pin short
99,r3rqk1/1b1n1pbn/p2p4/1p1P2p1/1PpNP1PB/P1N4P/2BQ4/2R2RK1 w - - 0 24,h4g5 g7d4 d2d4 h7g5,1665,76,93,7954,advantage middlegame short
100,2q2rk1/1b3pbp/p2p1np1/1p1P4/1Pr5/P1NQBN1P/5PP1/R1R3K1 b - - 0 19,f6d5 c3d5 b7d5 d3d5 g7a1 c1a1,1680,75,93,4244,advantage long middlegame
101,4kb2/pp1b2pr/4p2N/3pP3/1q1P4/1P2PQ2/P2N2PP/5RK1 b - - 0 19,h7h6 f3f7 e8d8 f7f8 b4f8 f1f8,1405,76,95,18307,advantage deflection exposedKing long middlegame
102,r6k/5Rb1/2p3Qp/p2pq1p1/8/1B1R2PP/P1P3PK/4r3 w - - 5 28,d3f3 e5a1 g6g7 a1g7 f7g7 h8g7,1887,75,94,10097,advantage long middlegame
103,5B2/p1p5/1k6/2p4p/P1P2Kp1/8/8/8 w - - 2 36,f4g5 g4g3 g5h5 g3g2 a4a5 b6c6,1733,71,95,9630,advancedPawn bishopEndgame crushing defensiveMove endgame long
104,r1b3k1/2p1r1p1/p1p1qp1P/8/3Pp3/2P2PQ1/P1PB2P1/R3K2R w KQ - 0 21,d2e3 e4f3 g3f3 e6e3 f3e3 e7e3,1068,78,94,4117,advantage discoveredAttack exposedKing long middlegame pin
105,3b2k1/1b3pp1/4pn1p/1Bp5/8/P3PNNP/1P4P1/6K1 w - - 0 25,f3e5 d8c7 e5d3 c7g3,1440,74,94,19415,advantage endgame short
106,8/8/7p/7P/2k2Kp1/6P1/8/8 b - - 5 46,c4d5 f4f5 d5d4 f5g6,1811,75,94,8347,crushing endgame pawnEndgame short
107,r2qr1k1/ppp2p1p/5pPB/8/6Q1/2Pp4/P1B3PP/bN3K1R b - - 0 19,d3c2 g6h7 g8h7 g4g7,1457,75,96,14726,advancedPawn attraction doubleCheck kingsideAttack mate mateIn2 middlegame short
108,rn2nrk1/pp2q1bp/2pp2p1/5bP1/2P1BP2/2NP4/PP1BQ3/R3K1NR b KQ - 4 15,g7c3 e4d5 c6d5 e2e7,1805,75,97,7674,crushing discoveredAttack kingsideAttack middlegame short
109,6k1/p5N1/6r1/1q1pp2R/4P3/4QK2/5P2/8 b - - 2 38,g8g7 e3a7 g7f6 h5f5 f6e6 a7f7,1194,73,97,11018,crushing endgame exposedKing long
110,2k5/p1p5/r6q/3b4/8/3P4/PPP2P1P/R1B2RK1 w - - 0 31,c1h6 a6g6 h6g5 g6g5,1166,75,95,5183,endgame fork mate mateIn2 short
111,2r3k1/1p1bB2p/p6r/P2Pbp2/2P1p3/1P6/4B1PP/2R2R1K w - - 6 32,g2g3 e5g3 h2h4 g3h4 e7h4 h6h4 h1g2 f5f4,1937,74,93,4542,advantage defensiveMove kingsideAttack middlegame pin veryLong
112,2r2rk1/1p2b1p1/p2p1n1p/P2qpQ2/8/2P1BP2/1P1N2PP/3R1RK1 b - - 0 21,d5a5 f5e6 g8h7 e6e7,1369,77,94,14024,advantage fork middlegame short
113,r2q1r1k/1ppbb1pn/p1n4p/3Qpp2/B3P3/2P2N1P/PP3PP1/R1B1RNK1 w - - 2 14,f3e5 c6e5 a4d7 e5d7,1267,77,93,4233,advantage middlegame short
114,8/8/1n4p1/4kp1p/7P/1B2KPP1/8/8 b - - 0 54,b6d5 b3d5 e5d5 e3f4,1170,76,94,4035,crushing endgame short
115,8/5p2/rNn1pk2/p1P3p1/Rr1P2P1/4PK2/5P2/7R w - - 3 36,f3e4 a6b6 c5b6 b4a4,1636,76,93,3749,advantage capturingDefender endgame short
116,r2q1rk1/ppp3pR/2np2Q1/8/8/2P2NB1/PP3KP1/1Bb5 b - - 0 18,d8f6 h7h8 g8h8 g6h7,1641,77,95,6523,attraction kingsideAttack mate mateIn2 middlegame sacrifice short
117,2kr2n1/pp1qbp2/2np4/2pNpNp1/4P3/2PP4/PP3PK1/R1B4Q b - - 0 16,g8f6 f5e7 c6e7 d5f6,1931,78,92,4228,advantage middlegame short
118,6k1/1p1n1pbp/1q1p1np1/4P1B1/p3P3/5B2/PP2NPPP/2Q3K1 b - - 0 20,d7e5 c1c8 g7f8 g5f6,1007,76,98,3244,advantage deflection middlegame short
119,rnbqkb1r/1pp2ppp/p3p3/4N3/2PPp3/8/PP3PPP/R1BQKB1R b KQkq - 1 7,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1507,76,96,13171,advantage long opening
120,r3r1k1/4bppp/p1pp4/1p1n4/4B3/6N1/PP3P1P/2R1R2K b - - 1 24,a8c8 e4d5 c6d5 c1c8 e8c8 e1e7,1326,74,100,3045,advantage long middlegame
121,6k1/pp1n1p1p/5B2/3p1N2/3P1bPQ/1P3P1P/P1q1rRK1/8 w - - 1 29,f6g5 e2f2 h4f2 c2f2 g2f2 f4g5,1393,78,94,12991,advantage long middlegame
122,5rk1/2r1q2p/b5pQ/3pPpN1/2p2n2/P6R/P4KP1/1B5R w - - 0 34,g5h7 f4h3 h1h3 e7h7,1921,73,94,5732,crushing intermezzo master middlegame short
123,r3kb1r/pppqpn1p/5p2/3p1bpQ/2PP4/4P1B1/PP3PPP/RN2KB1R w KQkq - 1 11,b1c3 f5g4 h5g4 d7g4,1543,75,96,20992,advantage opening short trappedPiece
124,8/1p3qk1/p1p3p1/P2b4/3P1r2/6QP/2B3P1/4R1K1 w - - 4 36,e1e7 f4f1 g1h2 f7e7,1007,78,93,3385,crushing endgame master masterVsMaster short
125,r3k2r/1bqpnp2/1p3b1p/5B2/8/2P2N2/PP4PP/RN1QR1K1 w kq - 0 16,b1d2 c7c5 g1h1 c5f5,1391,77,97,6955,advantage fork middlegame short
126,2rr2k1/5p2/pp2q1pp/2p5/P1pP4/2PQP1P1/R4PKP/1R6 w - - 0 26,d3e2 e6e4 f2f3 e4b1,1152,78,97,6247,crushing endgame fork master short
127,r4rk1/p1p1b1p1/2pq1n2/3p3p/3P4/2P5/PPN1QPPP/R1B2RK1 w - - 0 16,c1g5 f6g4 g2g3 e7g5,1401,75,94,8039,advantage discoveredAttack middlegame short
128,r6r/pp1R2pp/2pB1k2/8/2b5/5N1P/5PP1/3B2K1 b - - 0 21,a8d8 d6e7 f6e6 d7d8 h8d8 e7d8,1621,75,94,6423,crushing fork long middlegame
129,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,1920,75,95,3955,crushing hangingPiece long middlegame
130,r3k2r/ppQ1n1p1/1p1R4/6p1/8/P3qP1b/BPP4P/5R1K b kq - 2 22,h3f1 c7d7 e8f8 d7d8 a8d8 d6d8,1813,77,95,10403,exposedKing long mate mateIn3 middlegame sacrifice
131,5k2/2p2p2/1p6/1P3pQ1/3Np1n1/2P1P1P1/3q1PK1/8 w - - 15 37,g5f5 g4e3 g2h3 e3f5,1253,75,99,2984,crushing endgame pin short
132,3Q4/p1p2qk1/2pbR1p1/7p/2B5/2P2PP1/P6P/7K w - - 1 28,e6e8 f7f3 h1g1 d6c5 d8d4 c5d4,1214,75,96,16445,crushing endgame long
133,2r4r/1b4k1/2q1p1p1/2p5/1p1pR1QP/pP1P1PP1/P1P5/4R1K1 b - - 0 30,h8h6 e4e6 c6f3 e6e7 g7f8 e1f1 f3f1 g1f1 f8e7 g4g5 e7d7 g5h6,1982,75,94,7427,advantage fork master masterVsMaster middlegame pin veryLong
134,6k1/6pp/4pp2/3b4/1P6/1P6/6PP/rBR3K1 b - - 2 34,d5b3 b1h7 g8h7 c1a1,1489,73,95,11211,crushing discoveredAttack endgame short
135,5rk1/5ppp/R7/3N4/1P1bP3/3P2KP/1r4P1/3R4 w - - 3 28,a6d6 d4e5 g3f3 e5d6,1290,75,95,12249,crushing endgame fork short
136,1RQ2bk1/7p/3p1rp1/2p5/P1P1p3/8/q4PPP/1R4K1 w - - 2 35,c8c6 a2f2 g1h1 f2f1 b1f1 f6f1,1134,74,95,5029,backRankMate endgame long mate mateIn3 sacrifice
137,1r2r1k1/1pp2n1p/p3ppp1/P2P4/1q1P2N1/7P/4QPP1/4RRK1 b - - 0 29,e6d5 g4f6 g8h8 f6e8,1392,76,93,3394,crushing fork middlegame short
138,r1bk3r/ppp2ppp/8/8/8/4P1P1/PP1P1bBP/R1Bn1K1R b - - 0 11,h8e8 f1e2 c8g4 g2f3,1286,76,93,5485,advantage defensiveMove middlegame short
139,r2q1rk1/1p2bppp/p1npbn2/3Np3/4P3/1N4P1/PPPB1PBP/R2QR1K1 b - - 5 12,e6g4 d5f6 e7f6 d1g4,1375,75,95,13306,crushing kingsideAttack opening short
140,8/8/8/P6p/8/2RnkN2/r7/3K4 w - - 1 60,f3e1 a2d2,1760,79,95,11798,endgame mate mateIn1 oneMove
141,2q3k1/p2brppp/1p2p3/3pP3/3P4/Q4N2/P4PPP/4K2R w K - 0 22,a3e7 c8c1 e1e2 d7b5,1603,75,97,10206,endgame mate mateIn2 short
142,r4rk1/pppq2b1/2np3p/4p2b/B5p1/2PPQ2P/PP1N1P1B/R3NRK1 w - - 0 21,h3g4 d7g4 g1h1 g4a4,1497,76,95,18361,advantage fork middlegame short
143,r4rk1/pp2b1pp/2n2p2/4p3/8/2PB1QB1/Pq3P1P/R3R1K1 b - - 3 18,b2c3 d3h7 g8h7 f3c3,1486,74,94,6282,crushing discoveredAttack middlegame short
144,r2qkb1r/pp3ppp/4bn2/2p1Q3/3pPP2/3P4/PPP1N1PP/RNB2RK1 w kq - 1 12,f4f5 f8d6 e5d6 d8d6,1421,74,93,3213,advantage opening short trappedPiece
145,8/2pr2k1/4N1p1/1p5p/8/2P1Q1K1/2q3PP/8 b - - 10 41,g7h8 e3h6 h8g8 h6f8 g8h7 e6g5,1701,76,97,10503,endgame exposedKing long mate mateIn3
146,1rq1b1k1/2p2ppp/3p4/8/2Q2PP1/1BB1n1rP/PPP2R1K/3R4 w - - 3 28,c4d4 g3h3 h2h3 c8g4,1822,74,89,3244,attraction crushing master middlegame sacrifice short
147,r1b1r1k1/pp3ppp/1bq5/8/3n1Q2/1PN2P2/P1P1N1PP/R1B2R1K w - - 2 16,e2d4 c6c3 c1d2 c3d4,1486,73,96,21519,advantage hangingPiece opening short
148,8/pp3k2/1npQ4/3pP3/8/2P1b3/PP2b2q/1K1R1B2 b - - 0 26,e2d1 e5e6 f7f6 d6h2,1936,74,94,11160,crushing discoveredAttack endgame short
149,r3k2r/1p1n1ppp/p3p3/q2p4/1b1Pb3/PP2PN1P/1B2BPP1/R2Q1RK1 b kq - 0 13,b4c3 b3b4 c3b4 a3b4,1555,73,96,21965,advantage middlegame short
150,r4rk1/2qb2pp/p2bp3/1p1nnN2/1P2Q3/P1P3N1/2B2PPP/R1B2RK1 b - - 0 21,d5c3 f5h6 g7h6 e4h7,1968,77,95,5252,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short
151,r1k4r/pp1nQ1p1/5p2/1N3P1p/3P4/2P5/q5PP/4R2K b - - 3 25,a7a6 e7e8 h8e8 e1e8,1789,74,95,9686,mate mateIn2 middlegame queensideAttack sacrifice short
152,r4r2/pR6/3p4/2b3Bp/NkB1P1bP/1P4p1/P5P1/n6K b - - 0 26,b4a3 g5c1 a3a2 a4c3,1700,77,97,8782,mate mateIn2 middlegame short
153,r4rk1/ppp2ppp/3p4/3q4/1P1b1P1n/3BB1RP/P4P1K/R2Q4 b - - 1 21,d4a1 d3h7 g8h7 d1d5,1254,75,96,17834,advantage discoveredAttack kingsideAttack middlegame short
