PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
58,r2q1rk1/1b2bpp1/2p1p2p/1pPp4/1P4Q1/P3P2P/1B1N1PP1/R3R1K1 b - - 0 18,b7c8 g4g7,465,85,100,150,kingsideAttack mate mateIn1 middlegame oneMove
59,5k2/5p1p/p3bBp1/4P3/2r4P/8/2R2PP1/6K1 w - - 1 42,c2a2 c4c1 g1h2 e6a2,794,85,94,1154,crushing discoveredAttack endgame short
60,r5k1/1p3p2/p2bpPp1/3p3R/P5Qp/3q3P/3B2P1/5R1K w - - 1 27,d2h6 d3f1,453,88,81,110,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
61,7k/6pp/5p2/3p1Q1P/4r3/8/1pqN4/1R5K b - - 0 45,c2d2 f5c8 e4e8 c8e8,993,90,82,91,backRankMate endgame mate mateIn2 short
62,6k1/1R3pp1/4n3/8/2N4P/3r4/P4PKP/8 w - - 3 41,c4e5 e6f4 g2f1 d3d1,804,102,91,412,endgame mate mateIn2 short
63,2Q2rk1/p4ppp/1p3q2/3bR3/7N/P5P1/1P3P1P/4R1K1 b - - 0 23,f8c8 e5e8 c8e8 e1e8,815,80,83,53,backRankMate endgame mate mateIn2 short
64,Bn2k2r/p3pp1p/3p2p1/8/8/2P3b1/P1QB1P1q/3RR1K1 w k - 5 23,g1f1 h2f2,995,77,95,377,mate mateIn1 middlegame oneMove
65,6k1/q6p/6p1/4Bp2/P7/7P/2r1bPPN/R1R3K1 b - - 9 35,c2d2 c1c8 g8f7 c8c7 a7c7 e5c7,914,79,89,168,advantage fork long middlegame
66,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,756,84,98,670,kingsideAttack mate mateIn1 middlegame oneMove
67,r3rkR1/pbp2p1p/1pq2B2/8/2P5/P2P4/1P3PPP/R2Q2K1 b - - 4 23,f8g8 d1g4 g8f8 g4g7,696,76,100,252,kingsideAttack mate mateIn2 middlegame short
68,4rk2/2p2p2/2pp3p/5Pq1/1P2P1QR/8/5PK1/8 b - - 0 44,e8b8 g4g5 h6g5 h4h8,703,99,94,1379,crushing endgame master short
69,2r3k1/pR5p/3bpq1p/3p4/8/P2Q1NP1/5P1P/6K1 b - - 2 30,c8f8 d3h7,704,77,100,80,endgame mate mateIn1 oneMove
70,r4Qkr/pp3ppp/5nN1/3pb3/8/8/PP3PPP/4R1K1 b - - 6 27,a8f8 g6e7,865,78,96,523,endgame mate mateIn1 oneMove smotheredMate
71,r4rk1/pp2bppp/2p1pnb1/8/1P2PP1N/2P3Pn/P1QN2BP/R1B1R1qK w - - 9 19,e1g1 h3f2,860,80,95,1010,mate mateIn1 middlegame oneMove smotheredMate
72,8/1k6/1P2p1p1/2KpP3/7P/8/8/8 w - - 1 48,c5d6 d5d4 d6e6 d4d3,991,76,100,190,crushing endgame pawnEndgame quietMove short
